,id,age,sex,city,country,followers_count,last_seen,costs_to_rur,games
80,25000,45,мужской,санкт-петербург,россия,3400,03.09.2022,25000.0,Dota 2
81,25089,36,мужской,санкт-петербург,россия,440,03.09.2022,75000.0,Dota 2
82,25262,36,мужской,санкт-петербург,россия,1306,03.09.2022,75000.0,Dota 2
83,25726,39,мужской,москва,россия,1560,28.08.2022,75000.0,Apex Legends
84,27370,45,мужской,санкт-петербург,россия,,03.09.2022,75000.0,Dota 2
85,27370,45,мужской,санкт-петербург,россия,,03.09.2022,75000.0,CS:GO
86,27370,45,мужской,санкт-петербург,россия,,03.09.2022,75000.0,Warcraft III
87,28608,35,мужской,москва,россия,996,03.09.2022,75000.0,Dota 2
88,28608,35,мужской,москва,россия,996,03.09.2022,75000.0,CS:GO
89,28608,35,мужской,москва,россия,996,03.09.2022,75000.0,Warcraft III
90,29607,35,мужской,москва,россия,191,03.09.2022,75000.0,Dota 2
91,29607,35,мужской,москва,россия,191,03.09.2022,75000.0,CS:GO
92,29607,35,мужской,москва,россия,191,03.09.2022,75000.0,Warcraft III
93,29835,32,женский,санкт-петербург,россия,96306,06.07.2021,75000.0,Dota 2
94,29835,32,женский,санкт-петербург,россия,96306,06.07.2021,75000.0,CS:GO
95,29835,32,женский,санкт-петербург,россия,96306,06.07.2021,75000.0,Warcraft III
96,29990,39,мужской,краснодар,россия,,03.09.2022,75000.0,Dota 2
97,29990,39,мужской,краснодар,россия,,03.09.2022,75000.0,CS:GO
98,29990,39,мужской,краснодар,россия,,03.09.2022,75000.0,Warcraft III
99,30661,39,женский,город не указан,россия,769,03.09.2022,75000.0,Dota 2
100,30661,39,женский,город не указан,россия,769,03.09.2022,75000.0,CS:GO
101,30661,39,женский,город не указан,россия,769,03.09.2022,75000.0,Warcraft III
102,30816,39,мужской,санкт-петербург,россия,221,03.09.2022,25000.0,Dota 2
103,30816,39,мужской,санкт-петербург,россия,221,03.09.2022,25000.0,CS:GO
104,30816,39,мужской,санкт-петербург,россия,221,03.09.2022,25000.0,Warcraft III
105,30915,19,мужской,санкт-петербург,россия,,02.09.2022,50000.0,Dota 2
106,30915,19,мужской,санкт-петербург,россия,,02.09.2022,50000.0,CS:GO
107,30915,19,мужской,санкт-петербург,россия,,02.09.2022,50000.0,Warcraft III
108,32287,39,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Dota 2
109,32287,39,мужской,санкт-петербург,россия,,03.09.2022,50000.0,CS:GO
110,32287,39,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Warcraft III
111,33163,36,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Apex Legends
112,33784,37,мужской,санкт-петербург,россия,126,03.09.2022,50000.0,Apex Legends
113,33867,22,мужской,москва,россия,16895,05.04.2016,50000.0,Apex Legends
114,34990,39,мужской,москва,россия,1807,03.09.2022,50000.0,Apex Legends
115,36570,19,мужской,санкт-петербург,россия,679,03.09.2022,50000.0,StarCraft 2
116,36570,19,мужской,санкт-петербург,россия,679,03.09.2022,50000.0,Warface
117,36570,19,мужской,санкт-петербург,россия,679,03.09.2022,50000.0,Free Fire
118,37061,39,мужской,санкт-петербург,россия,,02.09.2022,50000.0,StarCraft 2
119,37061,39,мужской,санкт-петербург,россия,,02.09.2022,50000.0,Warface
120,37061,39,мужской,санкт-петербург,россия,,02.09.2022,50000.0,Free Fire
121,37552,19,мужской,санкт-петербург,россия,2988,03.09.2022,50000.0,StarCraft 2
122,37552,19,мужской,санкт-петербург,россия,2988,03.09.2022,50000.0,Warface
123,37552,19,мужской,санкт-петербург,россия,2988,03.09.2022,50000.0,Free Fire
124,38682,36,мужской,санкт-петербург,россия,6071,03.09.2022,25000.0,StarCraft 2
125,38682,36,мужской,санкт-петербург,россия,6071,03.09.2022,25000.0,Warface
126,38682,36,мужской,санкт-петербург,россия,6071,03.09.2022,25000.0,Free Fire
127,39535,36,мужской,москва,россия,727,03.09.2022,25000.0,StarCraft 2
128,39535,36,мужской,москва,россия,727,03.09.2022,25000.0,Warface
129,39535,36,мужской,москва,россия,727,03.09.2022,25000.0,Free Fire
130,39681,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,StarCraft 2
131,39681,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,Warface
132,39681,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,Free Fire
133,42889,45,мужской,алматы,казахстан,2730,01.09.2022,1036000.0,Apex Legends
134,44653,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,League of Legends
135,45473,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,PUBG
136,45473,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,Hearthstone
137,45473,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,Overwatch
138,46210,35,мужской,санкт-петербург,россия,98,03.09.2022,100000.0,PUBG
139,46210,35,мужской,санкт-петербург,россия,98,03.09.2022,100000.0,Hearthstone
140,46210,35,мужской,санкт-петербург,россия,98,03.09.2022,100000.0,Overwatch
141,46526,45,мужской,москва,россия,,03.09.2022,100000.0,PUBG
142,46526,45,мужской,москва,россия,,03.09.2022,100000.0,Hearthstone
143,46526,45,мужской,москва,россия,,03.09.2022,100000.0,Overwatch
144,46867,35,женский,санкт-петербург,россия,664,03.09.2022,100000.0,PUBG
145,46867,35,женский,санкт-петербург,россия,664,03.09.2022,100000.0,Hearthstone
146,46867,35,женский,санкт-петербург,россия,664,03.09.2022,100000.0,Overwatch
147,47037,45,мужской,санкт-петербург,россия,146,03.09.2022,100000.0,PUBG
148,47037,45,мужской,санкт-петербург,россия,146,03.09.2022,100000.0,Hearthstone
149,47037,45,мужской,санкт-петербург,россия,146,03.09.2022,100000.0,Overwatch
150,48275,42,мужской,санкт-петербург,россия,4271,03.09.2022,25000.0,League of Legends
151,48295,41,мужской,санкт-петербург,россия,452,03.09.2022,25000.0,FIFA
152,49581,35,мужской,город не указан,россия,,03.09.2022,25000.0,FIFA
153,51196,19,женский,ногинск,россия,8366,02.09.2022,25000.0,FIFA
154,52849,35,мужской,город не указан,россия,450,03.09.2022,25000.0,FIFA
155,53413,36,мужской,новосибирск,россия,2832,03.09.2022,25000.0,FIFA
156,53772,35,мужской,санкт-петербург,россия,695,03.09.2022,25000.0,FIFA
157,54566,31,мужской,самара,россия,,03.09.2022,25000.0,FIFA
158,54663,36,мужской,санкт-петербург,россия,,02.09.2022,25000.0,League of Legends
159,55164,22,мужской,санкт-петербург,россия,193,03.09.2022,25000.0,Fortnite
160,55299,37,мужской,город не указан,россия,942,03.09.2022,25000.0,Fortnite
161,55584,39,мужской,санкт-петербург,россия,394,03.09.2022,25000.0,Fortnite
162,55642,37,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Fortnite
163,56703,45,мужской,санкт-петербург,россия,317,03.09.2022,25000.0,Dota Underlords
164,56703,45,мужской,санкт-петербург,россия,317,03.09.2022,25000.0,Quake Champions
165,56703,45,мужской,санкт-петербург,россия,317,03.09.2022,25000.0,Heroes of the Storm
166,56903,45,мужской,санкт-петербург,россия,77,09.05.2017,25000.0,Dota Underlords
167,56903,45,мужской,санкт-петербург,россия,77,09.05.2017,25000.0,Quake Champions
168,56903,45,мужской,санкт-петербург,россия,77,09.05.2017,25000.0,Heroes of the Storm
169,58034,38,мужской,санкт-петербург,россия,242,03.09.2022,25000.0,Dota Underlords
170,58034,38,мужской,санкт-петербург,россия,242,03.09.2022,25000.0,Quake Champions
171,58034,38,мужской,санкт-петербург,россия,242,03.09.2022,25000.0,Heroes of the Storm
172,58474,22,мужской,город не указан,россия,435,03.09.2022,25000.0,Dota Underlords
173,58474,22,мужской,город не указан,россия,435,03.09.2022,25000.0,Quake Champions
174,58474,22,мужской,город не указан,россия,435,03.09.2022,25000.0,Heroes of the Storm
175,59206,22,мужской,город не указан,россия,2974,02.02.2022,25000.0,Dota Underlords
176,59206,22,мужской,город не указан,россия,2974,02.02.2022,25000.0,Quake Champions
177,59206,22,мужской,город не указан,россия,2974,02.02.2022,25000.0,Heroes of the Storm
178,60243,36,мужской,санкт-петербург,россия,,31.08.2022,25000.0,Dota Underlords
179,60243,36,мужской,санкт-петербург,россия,,31.08.2022,25000.0,Quake Champions
180,60243,36,мужской,санкт-петербург,россия,,31.08.2022,25000.0,Heroes of the Storm
181,61073,22,мужской,phuket,таиланд,22075,05.04.2020,25000.0,Dota Underlords
182,61073,22,мужской,phuket,таиланд,22075,05.04.2020,25000.0,Quake Champions
183,61073,22,мужской,phuket,таиланд,22075,05.04.2020,25000.0,Heroes of the Storm
184,61107,35,мужской,москва,россия,706,03.09.2022,25000.0,Dota Underlords
185,61107,35,мужской,москва,россия,706,03.09.2022,25000.0,Quake Champions
186,61107,35,мужской,москва,россия,706,03.09.2022,25000.0,Heroes of the Storm
187,61136,35,мужской,санкт-петербург,россия,139,03.09.2022,25000.0,Free Fire
188,61511,45,женский,москва,россия,2161,03.09.2022,25000.0,Free Fire
189,61588,45,мужской,город не указан,россия,,03.09.2022,25000.0,Free Fire
190,62030,22,мужской,город не указан,россия,120,02.09.2022,25000.0,Warcraft III
191,62312,35,мужской,санкт-петербург,россия,807,03.09.2022,25000.0,StarCraft 2
192,62312,35,мужской,санкт-петербург,россия,807,03.09.2022,25000.0,Warface
193,62312,35,мужской,санкт-петербург,россия,807,03.09.2022,25000.0,Free Fire
194,62569,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,StarCraft 2
195,62569,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,Warface
196,62569,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,Free Fire
197,62642,39,мужской,бийск,россия,8266,03.09.2022,25000.0,StarCraft 2
198,62642,39,мужской,бийск,россия,8266,03.09.2022,25000.0,Warface
199,62642,39,мужской,бийск,россия,8266,03.09.2022,25000.0,Free Fire
200,63526,35,мужской,санкт-петербург,россия,31,03.09.2022,25000.0,StarCraft 2
201,63526,35,мужской,санкт-петербург,россия,31,03.09.2022,25000.0,Warface
202,63526,35,мужской,санкт-петербург,россия,31,03.09.2022,25000.0,Free Fire
203,64243,39,мужской,санкт-петербург,россия,49,01.09.2022,25000.0,StarCraft 2
204,64243,39,мужской,санкт-петербург,россия,49,01.09.2022,25000.0,Warface
205,64243,39,мужской,санкт-петербург,россия,49,01.09.2022,25000.0,Free Fire
206,65223,36,женский,санкт-петербург,россия,1154,03.09.2022,25000.0,StarCraft 2
207,65223,36,женский,санкт-петербург,россия,1154,03.09.2022,25000.0,Warface
208,65223,36,женский,санкт-петербург,россия,1154,03.09.2022,25000.0,Free Fire
209,65765,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,StarCraft 2
210,65765,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Warface
211,65765,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Free Fire
212,66611,45,мужской,санкт-петербург,россия,556,02.09.2022,25000.0,StarCraft 2
213,66611,45,мужской,санкт-петербург,россия,556,02.09.2022,25000.0,Warface
214,66611,45,мужской,санкт-петербург,россия,556,02.09.2022,25000.0,Free Fire
215,66914,35,мужской,город не указан,россия,2380,03.09.2022,25000.0,Warcraft III
216,68352,38,мужской,кингисепп,россия,357,03.09.2022,25000.0,Warcraft III
217,68875,40,мужской,москва,россия,23,03.09.2022,25000.0,League of Legends
218,68875,40,мужской,москва,россия,23,03.09.2022,25000.0,Valorant
219,68875,40,мужской,москва,россия,23,03.09.2022,25000.0,Apex Legends
220,69794,35,мужской,воронеж,россия,663,03.09.2022,25000.0,League of Legends
221,69794,35,мужской,воронеж,россия,663,03.09.2022,25000.0,Valorant
222,69794,35,мужской,воронеж,россия,663,03.09.2022,25000.0,Apex Legends
223,69865,35,мужской,город не указан,россия,,03.09.2022,25000.0,League of Legends
224,69865,35,мужской,город не указан,россия,,03.09.2022,25000.0,Valorant
225,69865,35,мужской,город не указан,россия,,03.09.2022,25000.0,Apex Legends
226,70724,37,мужской,москва,россия,159,03.09.2022,25000.0,League of Legends
227,70724,37,мужской,москва,россия,159,03.09.2022,25000.0,Valorant
228,70724,37,мужской,москва,россия,159,03.09.2022,25000.0,Apex Legends
229,71393,19,мужской,москва,россия,802,02.09.2022,25000.0,League of Legends
230,71393,19,мужской,москва,россия,802,02.09.2022,25000.0,Valorant
231,71393,19,мужской,москва,россия,802,02.09.2022,25000.0,Apex Legends
232,71607,45,мужской,москва,россия,292,03.09.2022,25000.0,League of Legends
233,71607,45,мужской,москва,россия,292,03.09.2022,25000.0,Valorant
234,71607,45,мужской,москва,россия,292,03.09.2022,25000.0,Apex Legends
235,71805,38,мужской,санкт-петербург,россия,211,03.09.2022,25000.0,League of Legends
236,71805,38,мужской,санкт-петербург,россия,211,03.09.2022,25000.0,Valorant
237,71805,38,мужской,санкт-петербург,россия,211,03.09.2022,25000.0,Apex Legends
238,72042,38,мужской,санкт-петербург,россия,570,03.09.2022,25000.0,Warcraft III
239,74222,37,мужской,алматы,казахстан,516,01.07.2022,777000.0,CS:GO
240,74437,45,мужской,санкт-петербург,россия,86,20.03.2022,25000.0,CS:GO
241,74510,37,мужской,санкт-петербург,россия,,21.08.2022,25000.0,Dota 2
242,74557,35,мужской,санкт-петербург,россия,797,03.09.2022,25000.0,Dota 2
243,74687,38,мужской,саратов,россия,224,03.09.2022,25000.0,PUBG
244,74687,38,мужской,саратов,россия,224,03.09.2022,25000.0,Hearthstone
245,74687,38,мужской,саратов,россия,224,03.09.2022,25000.0,Overwatch
246,75031,44,мужской,москва,россия,8,01.11.2020,25000.0,PUBG
247,75031,44,мужской,москва,россия,8,01.11.2020,25000.0,Hearthstone
248,75031,44,мужской,москва,россия,8,01.11.2020,25000.0,Overwatch
249,75261,45,мужской,санкт-петербург,россия,43,03.09.2022,25000.0,PUBG
250,75261,45,мужской,санкт-петербург,россия,43,03.09.2022,25000.0,Hearthstone
251,75261,45,мужской,санкт-петербург,россия,43,03.09.2022,25000.0,Overwatch
252,75295,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,PUBG
253,75295,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Hearthstone
254,75295,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Overwatch
255,75944,74,мужской,москва,россия,16087,26.10.2016,25000.0,Fortnite
256,76033,45,женский,санкт-петербург,россия,432,03.09.2022,25000.0,Fortnite
257,76141,19,мужской,санкт-петербург,россия,,01.09.2022,25000.0,Fortnite
258,77306,40,мужской,санкт-петербург,россия,471,03.09.2022,25000.0,Fortnite
259,77532,19,мужской,тель-авив,израиль,41,31.08.2022,159450.0,Fortnite
260,80286,45,мужской,санкт-петербург,россия,163,03.09.2022,25000.0,Fortnite
261,80587,43,мужской,москва,россия,13,24.08.2022,25000.0,Fortnite
262,80671,39,женский,санкт-петербург,россия,,03.09.2022,25000.0,Fortnite
263,80776,39,мужской,город не указан,россия,,03.09.2022,25000.0,Dota 2
264,81209,35,мужской,санкт-петербург,россия,420,03.09.2022,25000.0,FIFA
265,81256,39,мужской,москва,россия,158,03.09.2022,25000.0,FIFA
266,81749,38,мужской,город не указан,россия,1001,28.07.2021,25000.0,FIFA
267,82177,38,мужской,санкт-петербург,россия,1757,02.09.2022,25000.0,FIFA
268,82606,36,мужской,санкт-петербург,россия,,03.09.2022,100000.0,FIFA
269,83611,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,FIFA
270,83897,23,мужской,город не указан,россия,600,03.09.2022,100000.0,CS:GO
271,84216,26,женский,санкт-петербург,россия,698,08.08.2022,100000.0,CS:GO
272,84417,36,мужской,санкт-петербург,россия,,03.09.2022,100000.0,CS:GO
273,84627,28,женский,москва,россия,6954,02.09.2022,50000.0,Dota 2
274,84627,28,женский,москва,россия,6954,02.09.2022,50000.0,CS:GO
275,84627,28,женский,москва,россия,6954,02.09.2022,50000.0,Warcraft III
276,84818,45,мужской,санкт-петербург,россия,1435,03.09.2022,50000.0,Dota 2
277,84818,45,мужской,санкт-петербург,россия,1435,03.09.2022,50000.0,CS:GO
278,84818,45,мужской,санкт-петербург,россия,1435,03.09.2022,50000.0,Warcraft III
279,85235,36,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Dota 2
280,85235,36,мужской,санкт-петербург,россия,,03.09.2022,50000.0,CS:GO
281,85235,36,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Warcraft III
282,86513,22,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota 2
283,86513,22,мужской,санкт-петербург,россия,,03.09.2022,25000.0,CS:GO
284,86513,22,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Warcraft III
285,87552,19,мужской,сочи,россия,6280,03.09.2022,25000.0,Dota 2
286,87552,19,мужской,сочи,россия,6280,03.09.2022,25000.0,CS:GO
287,87552,19,мужской,сочи,россия,6280,03.09.2022,25000.0,Warcraft III
288,87600,35,мужской,санкт-петербург,россия,671,02.09.2022,25000.0,Dota 2
289,87600,35,мужской,санкт-петербург,россия,671,02.09.2022,25000.0,CS:GO
290,87600,35,мужской,санкт-петербург,россия,671,02.09.2022,25000.0,Warcraft III
291,87982,41,мужской,санкт-петербург,россия,2059,02.09.2022,25000.0,Dota 2
292,87982,41,мужской,санкт-петербург,россия,2059,02.09.2022,25000.0,CS:GO
293,87982,41,мужской,санкт-петербург,россия,2059,02.09.2022,25000.0,Warcraft III
294,88253,22,женский,санкт-петербург,россия,13143,21.05.2021,25000.0,Dota 2
295,88253,22,женский,санкт-петербург,россия,13143,21.05.2021,25000.0,CS:GO
296,88253,22,женский,санкт-петербург,россия,13143,21.05.2021,25000.0,Warcraft III
297,90277,45,женский,санкт-петербург,россия,969,03.09.2022,25000.0,Dota 2
298,90277,45,женский,санкт-петербург,россия,969,03.09.2022,25000.0,CS:GO
299,90277,45,женский,санкт-петербург,россия,969,03.09.2022,25000.0,Warcraft III
300,90520,37,мужской,санкт-петербург,россия,113,03.09.2022,25000.0,CS:GO
301,90540,22,мужской,город не указан,россия,34872,03.09.2022,25000.0,Warcraft III
302,93388,22,мужской,город не указан,россия,,01.09.2022,25000.0,Warcraft III
303,93443,45,мужской,москва,россия,11242,10.01.2020,25000.0,Warcraft III
304,93500,22,мужской,санкт-петербург,россия,219,03.09.2022,25000.0,Free Fire
305,93504,45,мужской,мурманск,россия,,03.09.2022,25000.0,Free Fire
306,93694,22,мужской,киев,украина,22459,23.08.2019,25000.0,Free Fire
307,94795,34,мужской,город не указан,россия,604,03.09.2022,25000.0,Free Fire
308,95300,27,мужской,москва,россия,5781,31.08.2021,25000.0,Free Fire
309,95705,45,мужской,praha,чехия,44275,03.09.2022,159450.0,Free Fire
310,95716,40,мужской,санкт-петербург,россия,498,03.09.2022,25000.0,Dota 2
311,96151,38,мужской,санкт-петербург,россия,954,03.09.2022,25000.0,StarCraft 2
312,96151,38,мужской,санкт-петербург,россия,954,03.09.2022,25000.0,Warface
313,96151,38,мужской,санкт-петербург,россия,954,03.09.2022,25000.0,Free Fire
314,97076,24,мужской,город не указан,россия,,02.09.2022,25000.0,StarCraft 2
315,97076,24,мужской,город не указан,россия,,02.09.2022,25000.0,Warface
316,97076,24,мужской,город не указан,россия,,02.09.2022,25000.0,Free Fire
317,97716,20,мужской,москва,россия,260,03.09.2022,25000.0,FIFA
318,98222,35,мужской,кириши,россия,376,03.09.2022,25000.0,FIFA
319,98374,19,мужской,санкт-петербург,россия,192,03.09.2022,25000.0,FIFA
320,98971,45,мужской,город не указан,россия,,02.09.2022,25000.0,FIFA
321,99752,36,мужской,калининград,россия,530,03.09.2022,25000.0,FIFA
322,100636,33,мужской,братск,россия,66,03.09.2022,25000.0,FIFA
323,100842,24,мужской,элиста,россия,367,03.09.2022,25000.0,FIFA
324,101012,36,мужской,нефтеюганск,россия,255,02.09.2022,25000.0,StarCraft 2
325,101012,36,мужской,нефтеюганск,россия,255,02.09.2022,25000.0,Warface
326,101012,36,мужской,нефтеюганск,россия,255,02.09.2022,25000.0,Free Fire
327,101242,37,мужской,калининград,россия,,01.09.2022,25000.0,StarCraft 2
328,101242,37,мужской,калининград,россия,,01.09.2022,25000.0,Warface
329,101242,37,мужской,калининград,россия,,01.09.2022,25000.0,Free Fire
330,101506,45,женский,москва,россия,1241,26.08.2022,25000.0,StarCraft 2
331,101506,45,женский,москва,россия,1241,26.08.2022,25000.0,Warface
332,101506,45,женский,москва,россия,1241,26.08.2022,25000.0,Free Fire
333,101979,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,StarCraft 2
334,101979,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Warface
335,101979,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Free Fire
336,102212,35,мужской,санкт-петербург,россия,667,03.09.2022,25000.0,StarCraft 2
337,102212,35,мужской,санкт-петербург,россия,667,03.09.2022,25000.0,Warface
338,102212,35,мужской,санкт-петербург,россия,667,03.09.2022,25000.0,Free Fire
339,104851,45,женский,санкт-петербург,россия,,03.09.2022,25000.0,Dota Underlords
340,104851,45,женский,санкт-петербург,россия,,03.09.2022,25000.0,Quake Champions
341,104851,45,женский,санкт-петербург,россия,,03.09.2022,25000.0,Heroes of the Storm
342,104957,39,мужской,санкт-петербург,россия,,02.09.2022,25000.0,Dota Underlords
343,104957,39,мужской,санкт-петербург,россия,,02.09.2022,25000.0,Quake Champions
344,104957,39,мужской,санкт-петербург,россия,,02.09.2022,25000.0,Heroes of the Storm
