id,age,sex,city,country,followers_count,last_seen,costs_to_rur,games
5394,27,мужской,саратов,россия,20276,03.09.2022,25000.0,Warface
6403,38,мужской,санкт-петербург,россия,,30.08.2022,25000.0,Free Fire
7226,38,женский,город не указан,россия,22127,01.09.2022,25000.0,Dota Underlords
7408,45,женский,москва,россия,,03.09.2022,25000.0,Quake Champions
7579,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Heroes of the Storm
7982,38,женский,москва,россия,112016,03.09.2022,25000.0,Warcraft III
7982,38,женский,москва,россия,112016,03.09.2022,25000.0,StarCraft 2
8074,38,мужской,москва,россия,971,03.09.2022,25000.0,Dota 2
8074,38,мужской,москва,россия,971,03.09.2022,25000.0,CS:GO
8244,38,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota 2
8244,38,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota Underlords
8298,22,мужской,нижний новгород,россия,18470,13.03.2017,25000.0,CS:GO
8436,22,женский,город не указан,россия,29648,31.08.2022,25000.0,CS:GO
8485,27,мужской,рязань,россия,3122,03.09.2022,25000.0,Dota 2
8727,22,мужской,город не указан,россия,17302,03.09.2022,25000.0,Dota 2
8736,22,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota 2
8752,19,мужской,ивано-франковск,украина,,02.09.2022,25000.0,Dota 2
9110,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,Dota 2
9571,45,мужской,москва,россия,15152,03.09.2022,100000.0,Overwatch
9699,22,женский,phuket,таиланд,22266,05.04.2020,25000.0,Overwatch
9731,35,женский,санкт-петербург,россия,4070,03.09.2022,100000.0,Overwatch
10480,22,мужской,москва,россия,,02.09.2022,100000.0,Warcraft III
10484,112,мужской,москва,россия,118,19.07.2022,100000.0,Warcraft III
10775,37,мужской,москва,россия,,01.09.2022,25000.0,Warcraft III
10990,22,мужской,санкт-петербург,россия,1482,26.10.2021,25000.0,Overwatch
11074,36,мужской,санкт-петербург,россия,845,03.09.2022,25000.0,Overwatch
11671,41,мужской,москва,россия,381,03.09.2022,25000.0,Dota 2
11671,41,мужской,москва,россия,381,03.09.2022,25000.0,CS:GO
12018,37,мужской,москва,россия,,24.08.2022,25000.0,Dota 2
12018,37,мужской,москва,россия,,24.08.2022,25000.0,CS:GO
13331,35,мужской,город не указан,россия,5813,03.09.2022,25000.0,Hearthstone
15849,35,мужской,краснодар,россия,322,03.09.2022,25000.0,Hearthstone
16095,36,мужской,los angeles,сша,384,03.09.2022,250000.0,Hearthstone
16148,45,мужской,москва,россия,1001,03.09.2022,25000.0,FIFA
16318,39,мужской,санкт-петербург,россия,779,03.09.2022,25000.0,FIFA
17142,35,женский,челябинск,россия,9204,01.09.2022,25000.0,FIFA
17223,38,женский,санкт-петербург,россия,1460,03.09.2022,25000.0,FIFA
17583,24,женский,pattaya,таиланд,14060,05.04.2020,25000.0,FIFA
18088,40,мужской,москва,россия,1037,02.09.2022,25000.0,FIFA
18178,19,мужской,санкт-петербург,россия,11283,03.09.2022,25000.0,Hearthstone
18747,36,мужской,новосибирск,россия,249,01.09.2022,25000.0,PUBG
19326,19,мужской,санкт-петербург,россия,541,03.09.2022,25000.0,PUBG
19425,37,мужской,санкт-петербург,россия,725,02.09.2022,25000.0,PUBG
19604,36,мужской,город не указан,россия,4453,03.09.2022,25000.0,PUBG
19618,36,мужской,санкт-петербург,россия,867,03.09.2022,25000.0,Apex Legends
19863,45,женский,новосибирск,россия,15846,03.09.2022,25000.0,CS:GO
20397,36,мужской,санкт-петербург,россия,7961,02.09.2022,25000.0,CS:GO
21025,24,мужской,москва,россия,194,31.08.2022,25000.0,CS:GO
21528,45,мужской,санкт-петербург,россия,424,03.09.2022,25000.0,Apex Legends
23626,45,мужской,москва,россия,,03.09.2022,25000.0,Apex Legends
23994,39,мужской,санкт-петербург,россия,692,03.09.2022,25000.0,Dota 2
24577,34,мужской,улан-удэ,россия,982,03.09.2022,25000.0,Dota 2
24781,39,мужской,город не указан,россия,1612,03.09.2022,25000.0,Dota 2
25000,45,мужской,санкт-петербург,россия,3400,03.09.2022,25000.0,Dota 2
25089,36,мужской,санкт-петербург,россия,440,03.09.2022,75000.0,Dota 2
25262,36,мужской,санкт-петербург,россия,1306,03.09.2022,75000.0,Dota 2
25726,39,мужской,москва,россия,1560,28.08.2022,75000.0,Apex Legends
27370,45,мужской,санкт-петербург,россия,,03.09.2022,75000.0,Dota 2
27370,45,мужской,санкт-петербург,россия,,03.09.2022,75000.0,CS:GO
27370,45,мужской,санкт-петербург,россия,,03.09.2022,75000.0,Warcraft III
28608,35,мужской,москва,россия,996,03.09.2022,75000.0,Dota 2
28608,35,мужской,москва,россия,996,03.09.2022,75000.0,CS:GO
28608,35,мужской,москва,россия,996,03.09.2022,75000.0,Warcraft III
29607,35,мужской,москва,россия,191,03.09.2022,75000.0,Dota 2
29607,35,мужской,москва,россия,191,03.09.2022,75000.0,CS:GO
29607,35,мужской,москва,россия,191,03.09.2022,75000.0,Warcraft III
29835,32,женский,санкт-петербург,россия,96306,06.07.2021,75000.0,Dota 2
29835,32,женский,санкт-петербург,россия,96306,06.07.2021,75000.0,CS:GO
29835,32,женский,санкт-петербург,россия,96306,06.07.2021,75000.0,Warcraft III
29990,39,мужской,краснодар,россия,,03.09.2022,75000.0,Dota 2
29990,39,мужской,краснодар,россия,,03.09.2022,75000.0,CS:GO
29990,39,мужской,краснодар,россия,,03.09.2022,75000.0,Warcraft III
30661,39,женский,город не указан,россия,769,03.09.2022,75000.0,Dota 2
30661,39,женский,город не указан,россия,769,03.09.2022,75000.0,CS:GO
30661,39,женский,город не указан,россия,769,03.09.2022,75000.0,Warcraft III
30816,39,мужской,санкт-петербург,россия,221,03.09.2022,25000.0,Dota 2
30816,39,мужской,санкт-петербург,россия,221,03.09.2022,25000.0,CS:GO
30816,39,мужской,санкт-петербург,россия,221,03.09.2022,25000.0,Warcraft III
30915,19,мужской,санкт-петербург,россия,,02.09.2022,50000.0,Dota 2
30915,19,мужской,санкт-петербург,россия,,02.09.2022,50000.0,CS:GO
30915,19,мужской,санкт-петербург,россия,,02.09.2022,50000.0,Warcraft III
32287,39,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Dota 2
32287,39,мужской,санкт-петербург,россия,,03.09.2022,50000.0,CS:GO
32287,39,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Warcraft III
33163,36,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Apex Legends
33784,37,мужской,санкт-петербург,россия,126,03.09.2022,50000.0,Apex Legends
33867,22,мужской,москва,россия,16895,05.04.2016,50000.0,Apex Legends
34990,39,мужской,москва,россия,1807,03.09.2022,50000.0,Apex Legends
36570,19,мужской,санкт-петербург,россия,679,03.09.2022,50000.0,StarCraft 2
36570,19,мужской,санкт-петербург,россия,679,03.09.2022,50000.0,Warface
36570,19,мужской,санкт-петербург,россия,679,03.09.2022,50000.0,Free Fire
37061,39,мужской,санкт-петербург,россия,,02.09.2022,50000.0,StarCraft 2
37061,39,мужской,санкт-петербург,россия,,02.09.2022,50000.0,Warface
37061,39,мужской,санкт-петербург,россия,,02.09.2022,50000.0,Free Fire
37552,19,мужской,санкт-петербург,россия,2988,03.09.2022,50000.0,StarCraft 2
37552,19,мужской,санкт-петербург,россия,2988,03.09.2022,50000.0,Warface
37552,19,мужской,санкт-петербург,россия,2988,03.09.2022,50000.0,Free Fire
38682,36,мужской,санкт-петербург,россия,6071,03.09.2022,25000.0,StarCraft 2
38682,36,мужской,санкт-петербург,россия,6071,03.09.2022,25000.0,Warface
38682,36,мужской,санкт-петербург,россия,6071,03.09.2022,25000.0,Free Fire
39535,36,мужской,москва,россия,727,03.09.2022,25000.0,StarCraft 2
39535,36,мужской,москва,россия,727,03.09.2022,25000.0,Warface
39535,36,мужской,москва,россия,727,03.09.2022,25000.0,Free Fire
39681,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,StarCraft 2
39681,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,Warface
39681,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,Free Fire
42889,45,мужской,алматы,казахстан,2730,01.09.2022,1036000.0,Apex Legends
44653,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,League of Legends
45473,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,PUBG
45473,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,Hearthstone
45473,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,Overwatch
46210,35,мужской,санкт-петербург,россия,98,03.09.2022,100000.0,PUBG
46210,35,мужской,санкт-петербург,россия,98,03.09.2022,100000.0,Hearthstone
46210,35,мужской,санкт-петербург,россия,98,03.09.2022,100000.0,Overwatch
46526,45,мужской,москва,россия,,03.09.2022,100000.0,PUBG
46526,45,мужской,москва,россия,,03.09.2022,100000.0,Hearthstone
46526,45,мужской,москва,россия,,03.09.2022,100000.0,Overwatch
46867,35,женский,санкт-петербург,россия,664,03.09.2022,100000.0,PUBG
46867,35,женский,санкт-петербург,россия,664,03.09.2022,100000.0,Hearthstone
46867,35,женский,санкт-петербург,россия,664,03.09.2022,100000.0,Overwatch
47037,45,мужской,санкт-петербург,россия,146,03.09.2022,100000.0,PUBG
47037,45,мужской,санкт-петербург,россия,146,03.09.2022,100000.0,Hearthstone
47037,45,мужской,санкт-петербург,россия,146,03.09.2022,100000.0,Overwatch
48275,42,мужской,санкт-петербург,россия,4271,03.09.2022,25000.0,League of Legends
48295,41,мужской,санкт-петербург,россия,452,03.09.2022,25000.0,FIFA
49581,35,мужской,город не указан,россия,,03.09.2022,25000.0,FIFA
51196,19,женский,ногинск,россия,8366,02.09.2022,25000.0,FIFA
52849,35,мужской,город не указан,россия,450,03.09.2022,25000.0,FIFA
53413,36,мужской,новосибирск,россия,2832,03.09.2022,25000.0,FIFA
53772,35,мужской,санкт-петербург,россия,695,03.09.2022,25000.0,FIFA
54566,31,мужской,самара,россия,,03.09.2022,25000.0,FIFA
54663,36,мужской,санкт-петербург,россия,,02.09.2022,25000.0,League of Legends
55164,22,мужской,санкт-петербург,россия,193,03.09.2022,25000.0,Fortnite
55299,37,мужской,город не указан,россия,942,03.09.2022,25000.0,Fortnite
55584,39,мужской,санкт-петербург,россия,394,03.09.2022,25000.0,Fortnite
55642,37,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Fortnite
56703,45,мужской,санкт-петербург,россия,317,03.09.2022,25000.0,Dota Underlords
56703,45,мужской,санкт-петербург,россия,317,03.09.2022,25000.0,Quake Champions
56703,45,мужской,санкт-петербург,россия,317,03.09.2022,25000.0,Heroes of the Storm
56903,45,мужской,санкт-петербург,россия,77,09.05.2017,25000.0,Dota Underlords
56903,45,мужской,санкт-петербург,россия,77,09.05.2017,25000.0,Quake Champions
56903,45,мужской,санкт-петербург,россия,77,09.05.2017,25000.0,Heroes of the Storm
58034,38,мужской,санкт-петербург,россия,242,03.09.2022,25000.0,Dota Underlords
58034,38,мужской,санкт-петербург,россия,242,03.09.2022,25000.0,Quake Champions
58034,38,мужской,санкт-петербург,россия,242,03.09.2022,25000.0,Heroes of the Storm
58474,22,мужской,город не указан,россия,435,03.09.2022,25000.0,Dota Underlords
58474,22,мужской,город не указан,россия,435,03.09.2022,25000.0,Quake Champions
58474,22,мужской,город не указан,россия,435,03.09.2022,25000.0,Heroes of the Storm
59206,22,мужской,город не указан,россия,2974,02.02.2022,25000.0,Dota Underlords
59206,22,мужской,город не указан,россия,2974,02.02.2022,25000.0,Quake Champions
59206,22,мужской,город не указан,россия,2974,02.02.2022,25000.0,Heroes of the Storm
60243,36,мужской,санкт-петербург,россия,,31.08.2022,25000.0,Dota Underlords
60243,36,мужской,санкт-петербург,россия,,31.08.2022,25000.0,Quake Champions
60243,36,мужской,санкт-петербург,россия,,31.08.2022,25000.0,Heroes of the Storm
61073,22,мужской,phuket,таиланд,22075,05.04.2020,25000.0,Dota Underlords
61073,22,мужской,phuket,таиланд,22075,05.04.2020,25000.0,Quake Champions
61073,22,мужской,phuket,таиланд,22075,05.04.2020,25000.0,Heroes of the Storm
61107,35,мужской,москва,россия,706,03.09.2022,25000.0,Dota Underlords
61107,35,мужской,москва,россия,706,03.09.2022,25000.0,Quake Champions
61107,35,мужской,москва,россия,706,03.09.2022,25000.0,Heroes of the Storm
61136,35,мужской,санкт-петербург,россия,139,03.09.2022,25000.0,Free Fire
61511,45,женский,москва,россия,2161,03.09.2022,25000.0,Free Fire
61588,45,мужской,город не указан,россия,,03.09.2022,25000.0,Free Fire
62030,22,мужской,город не указан,россия,120,02.09.2022,25000.0,Warcraft III
62312,35,мужской,санкт-петербург,россия,807,03.09.2022,25000.0,StarCraft 2
62312,35,мужской,санкт-петербург,россия,807,03.09.2022,25000.0,Warface
62312,35,мужской,санкт-петербург,россия,807,03.09.2022,25000.0,Free Fire
62569,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,StarCraft 2
62569,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,Warface
62569,35,мужской,санкт-петербург,россия,590,03.09.2022,25000.0,Free Fire
62642,39,мужской,бийск,россия,8266,03.09.2022,25000.0,StarCraft 2
62642,39,мужской,бийск,россия,8266,03.09.2022,25000.0,Warface
62642,39,мужской,бийск,россия,8266,03.09.2022,25000.0,Free Fire
63526,35,мужской,санкт-петербург,россия,31,03.09.2022,25000.0,StarCraft 2
63526,35,мужской,санкт-петербург,россия,31,03.09.2022,25000.0,Warface
63526,35,мужской,санкт-петербург,россия,31,03.09.2022,25000.0,Free Fire
64243,39,мужской,санкт-петербург,россия,49,01.09.2022,25000.0,StarCraft 2
64243,39,мужской,санкт-петербург,россия,49,01.09.2022,25000.0,Warface
64243,39,мужской,санкт-петербург,россия,49,01.09.2022,25000.0,Free Fire
65223,36,женский,санкт-петербург,россия,1154,03.09.2022,25000.0,StarCraft 2
65223,36,женский,санкт-петербург,россия,1154,03.09.2022,25000.0,Warface
65223,36,женский,санкт-петербург,россия,1154,03.09.2022,25000.0,Free Fire
65765,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,StarCraft 2
65765,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Warface
65765,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Free Fire
66611,45,мужской,санкт-петербург,россия,556,02.09.2022,25000.0,StarCraft 2
66611,45,мужской,санкт-петербург,россия,556,02.09.2022,25000.0,Warface
66611,45,мужской,санкт-петербург,россия,556,02.09.2022,25000.0,Free Fire
66914,35,мужской,город не указан,россия,2380,03.09.2022,25000.0,Warcraft III
68352,38,мужской,кингисепп,россия,357,03.09.2022,25000.0,Warcraft III
68875,40,мужской,москва,россия,23,03.09.2022,25000.0,League of Legends
68875,40,мужской,москва,россия,23,03.09.2022,25000.0,Valorant
68875,40,мужской,москва,россия,23,03.09.2022,25000.0,Apex Legends
69794,35,мужской,воронеж,россия,663,03.09.2022,25000.0,League of Legends
69794,35,мужской,воронеж,россия,663,03.09.2022,25000.0,Valorant
69794,35,мужской,воронеж,россия,663,03.09.2022,25000.0,Apex Legends
69865,35,мужской,город не указан,россия,,03.09.2022,25000.0,League of Legends
69865,35,мужской,город не указан,россия,,03.09.2022,25000.0,Valorant
69865,35,мужской,город не указан,россия,,03.09.2022,25000.0,Apex Legends
70724,37,мужской,москва,россия,159,03.09.2022,25000.0,League of Legends
70724,37,мужской,москва,россия,159,03.09.2022,25000.0,Valorant
70724,37,мужской,москва,россия,159,03.09.2022,25000.0,Apex Legends
71393,19,мужской,москва,россия,802,02.09.2022,25000.0,League of Legends
71393,19,мужской,москва,россия,802,02.09.2022,25000.0,Valorant
71393,19,мужской,москва,россия,802,02.09.2022,25000.0,Apex Legends
71607,45,мужской,москва,россия,292,03.09.2022,25000.0,League of Legends
71607,45,мужской,москва,россия,292,03.09.2022,25000.0,Valorant
71607,45,мужской,москва,россия,292,03.09.2022,25000.0,Apex Legends
71805,38,мужской,санкт-петербург,россия,211,03.09.2022,25000.0,League of Legends
71805,38,мужской,санкт-петербург,россия,211,03.09.2022,25000.0,Valorant
71805,38,мужской,санкт-петербург,россия,211,03.09.2022,25000.0,Apex Legends
72042,38,мужской,санкт-петербург,россия,570,03.09.2022,25000.0,Warcraft III
74222,37,мужской,алматы,казахстан,516,01.07.2022,777000.0,CS:GO
74437,45,мужской,санкт-петербург,россия,86,20.03.2022,25000.0,CS:GO
74510,37,мужской,санкт-петербург,россия,,21.08.2022,25000.0,Dota 2
74557,35,мужской,санкт-петербург,россия,797,03.09.2022,25000.0,Dota 2
74687,38,мужской,саратов,россия,224,03.09.2022,25000.0,PUBG
74687,38,мужской,саратов,россия,224,03.09.2022,25000.0,Hearthstone
74687,38,мужской,саратов,россия,224,03.09.2022,25000.0,Overwatch
75031,44,мужской,москва,россия,8,01.11.2020,25000.0,PUBG
75031,44,мужской,москва,россия,8,01.11.2020,25000.0,Hearthstone
75031,44,мужской,москва,россия,8,01.11.2020,25000.0,Overwatch
75261,45,мужской,санкт-петербург,россия,43,03.09.2022,25000.0,PUBG
75261,45,мужской,санкт-петербург,россия,43,03.09.2022,25000.0,Hearthstone
75261,45,мужской,санкт-петербург,россия,43,03.09.2022,25000.0,Overwatch
75295,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,PUBG
75295,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Hearthstone
75295,39,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Overwatch
75944,74,мужской,москва,россия,16087,26.10.2016,25000.0,Fortnite
76033,45,женский,санкт-петербург,россия,432,03.09.2022,25000.0,Fortnite
76141,19,мужской,санкт-петербург,россия,,01.09.2022,25000.0,Fortnite
77306,40,мужской,санкт-петербург,россия,471,03.09.2022,25000.0,Fortnite
77532,19,мужской,тель-авив,израиль,41,31.08.2022,159450.0,Fortnite
80286,45,мужской,санкт-петербург,россия,163,03.09.2022,25000.0,Fortnite
80587,43,мужской,москва,россия,13,24.08.2022,25000.0,Fortnite
80671,39,женский,санкт-петербург,россия,,03.09.2022,25000.0,Fortnite
80776,39,мужской,город не указан,россия,,03.09.2022,25000.0,Dota 2
81209,35,мужской,санкт-петербург,россия,420,03.09.2022,25000.0,FIFA
81256,39,мужской,москва,россия,158,03.09.2022,25000.0,FIFA
81749,38,мужской,город не указан,россия,1001,28.07.2021,25000.0,FIFA
82177,38,мужской,санкт-петербург,россия,1757,02.09.2022,25000.0,FIFA
82606,36,мужской,санкт-петербург,россия,,03.09.2022,100000.0,FIFA
83611,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,FIFA
83897,23,мужской,город не указан,россия,600,03.09.2022,100000.0,CS:GO
84216,26,женский,санкт-петербург,россия,698,08.08.2022,100000.0,CS:GO
84417,36,мужской,санкт-петербург,россия,,03.09.2022,100000.0,CS:GO
84627,28,женский,москва,россия,6954,02.09.2022,50000.0,Dota 2
84627,28,женский,москва,россия,6954,02.09.2022,50000.0,CS:GO
84627,28,женский,москва,россия,6954,02.09.2022,50000.0,Warcraft III
84818,45,мужской,санкт-петербург,россия,1435,03.09.2022,50000.0,Dota 2
84818,45,мужской,санкт-петербург,россия,1435,03.09.2022,50000.0,CS:GO
84818,45,мужской,санкт-петербург,россия,1435,03.09.2022,50000.0,Warcraft III
85235,36,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Dota 2
85235,36,мужской,санкт-петербург,россия,,03.09.2022,50000.0,CS:GO
85235,36,мужской,санкт-петербург,россия,,03.09.2022,50000.0,Warcraft III
86513,22,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota 2
86513,22,мужской,санкт-петербург,россия,,03.09.2022,25000.0,CS:GO
86513,22,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Warcraft III
87552,19,мужской,сочи,россия,6280,03.09.2022,25000.0,Dota 2
87552,19,мужской,сочи,россия,6280,03.09.2022,25000.0,CS:GO
87552,19,мужской,сочи,россия,6280,03.09.2022,25000.0,Warcraft III
87600,35,мужской,санкт-петербург,россия,671,02.09.2022,25000.0,Dota 2
87600,35,мужской,санкт-петербург,россия,671,02.09.2022,25000.0,CS:GO
87600,35,мужской,санкт-петербург,россия,671,02.09.2022,25000.0,Warcraft III
87982,41,мужской,санкт-петербург,россия,2059,02.09.2022,25000.0,Dota 2
87982,41,мужской,санкт-петербург,россия,2059,02.09.2022,25000.0,CS:GO
87982,41,мужской,санкт-петербург,россия,2059,02.09.2022,25000.0,Warcraft III
88253,22,женский,санкт-петербург,россия,13143,21.05.2021,25000.0,Dota 2
88253,22,женский,санкт-петербург,россия,13143,21.05.2021,25000.0,CS:GO
88253,22,женский,санкт-петербург,россия,13143,21.05.2021,25000.0,Warcraft III
90277,45,женский,санкт-петербург,россия,969,03.09.2022,25000.0,Dota 2
90277,45,женский,санкт-петербург,россия,969,03.09.2022,25000.0,CS:GO
90277,45,женский,санкт-петербург,россия,969,03.09.2022,25000.0,Warcraft III
90520,37,мужской,санкт-петербург,россия,113,03.09.2022,25000.0,CS:GO
90540,22,мужской,город не указан,россия,34872,03.09.2022,25000.0,Warcraft III
93388,22,мужской,город не указан,россия,,01.09.2022,25000.0,Warcraft III
93443,45,мужской,москва,россия,11242,10.01.2020,25000.0,Warcraft III
93500,22,мужской,санкт-петербург,россия,219,03.09.2022,25000.0,Free Fire
93504,45,мужской,мурманск,россия,,03.09.2022,25000.0,Free Fire
93694,22,мужской,киев,украина,22459,23.08.2019,25000.0,Free Fire
94795,34,мужской,город не указан,россия,604,03.09.2022,25000.0,Free Fire
95300,27,мужской,москва,россия,5781,31.08.2021,25000.0,Free Fire
95705,45,мужской,praha,чехия,44275,03.09.2022,159450.0,Free Fire
95716,40,мужской,санкт-петербург,россия,498,03.09.2022,25000.0,Dota 2
96151,38,мужской,санкт-петербург,россия,954,03.09.2022,25000.0,StarCraft 2
96151,38,мужской,санкт-петербург,россия,954,03.09.2022,25000.0,Warface
96151,38,мужской,санкт-петербург,россия,954,03.09.2022,25000.0,Free Fire
97076,24,мужской,город не указан,россия,,02.09.2022,25000.0,StarCraft 2
97076,24,мужской,город не указан,россия,,02.09.2022,25000.0,Warface
97076,24,мужской,город не указан,россия,,02.09.2022,25000.0,Free Fire
97716,20,мужской,москва,россия,260,03.09.2022,25000.0,FIFA
98222,35,мужской,кириши,россия,376,03.09.2022,25000.0,FIFA
98374,19,мужской,санкт-петербург,россия,192,03.09.2022,25000.0,FIFA
98971,45,мужской,город не указан,россия,,02.09.2022,25000.0,FIFA
99752,36,мужской,калининград,россия,530,03.09.2022,25000.0,FIFA
100636,33,мужской,братск,россия,66,03.09.2022,25000.0,FIFA
100842,24,мужской,элиста,россия,367,03.09.2022,25000.0,FIFA
101012,36,мужской,нефтеюганск,россия,255,02.09.2022,25000.0,StarCraft 2
101012,36,мужской,нефтеюганск,россия,255,02.09.2022,25000.0,Warface
101012,36,мужской,нефтеюганск,россия,255,02.09.2022,25000.0,Free Fire
101242,37,мужской,калининград,россия,,01.09.2022,25000.0,StarCraft 2
101242,37,мужской,калининград,россия,,01.09.2022,25000.0,Warface
101242,37,мужской,калининград,россия,,01.09.2022,25000.0,Free Fire
101506,45,женский,москва,россия,1241,26.08.2022,25000.0,StarCraft 2
101506,45,женский,москва,россия,1241,26.08.2022,25000.0,Warface
101506,45,женский,москва,россия,1241,26.08.2022,25000.0,Free Fire
101979,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,StarCraft 2
101979,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Warface
101979,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Free Fire
102212,35,мужской,санкт-петербург,россия,667,03.09.2022,25000.0,StarCraft 2
102212,35,мужской,санкт-петербург,россия,667,03.09.2022,25000.0,Warface
102212,35,мужской,санкт-петербург,россия,667,03.09.2022,25000.0,Free Fire
104851,45,женский,санкт-петербург,россия,,03.09.2022,25000.0,Dota Underlords
104851,45,женский,санкт-петербург,россия,,03.09.2022,25000.0,Quake Champions
104851,45,женский,санкт-петербург,россия,,03.09.2022,25000.0,Heroes of the Storm
104957,39,мужской,санкт-петербург,россия,,02.09.2022,25000.0,Dota Underlords
104957,39,мужской,санкт-петербург,россия,,02.09.2022,25000.0,Quake Champions
104957,39,мужской,санкт-петербург,россия,,02.09.2022,25000.0,Heroes of the Storm
105973,45,мужской,санкт-петербург,россия,119,03.09.2022,25000.0,Dota Underlords
105973,45,мужской,санкт-петербург,россия,119,03.09.2022,25000.0,Quake Champions
105973,45,мужской,санкт-петербург,россия,119,03.09.2022,25000.0,Heroes of the Storm
107682,19,мужской,санкт-петербург,россия,77,03.09.2022,25000.0,Dota Underlords
107682,19,мужской,санкт-петербург,россия,77,03.09.2022,25000.0,Quake Champions
107682,19,мужской,санкт-петербург,россия,77,03.09.2022,25000.0,Heroes of the Storm
108475,24,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota Underlords
108475,24,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Quake Champions
108475,24,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Heroes of the Storm
109283,35,мужской,санкт-петербург,россия,321,03.09.2022,25000.0,Dota Underlords
109283,35,мужской,санкт-петербург,россия,321,03.09.2022,25000.0,Quake Champions
109283,35,мужской,санкт-петербург,россия,321,03.09.2022,25000.0,Heroes of the Storm
109656,24,мужской,санкт-петербург,россия,96,03.09.2022,25000.0,Dota 2
109804,35,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota 2
110583,36,мужской,санкт-петербург,россия,630,03.09.2022,25000.0,Dota 2
110900,44,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Free Fire
111011,45,мужской,москва,россия,,03.09.2022,25000.0,League of Legends
